,Unnamed: 0,address
187,187,"Санкт-Петербург, станция Чудово км 117 пк 3, литера Г, часть здания дежурного депо на 1 этаже в производственно-технологическом комплексе локомотивного депо Санкт-Петербург-Сортировочный-Московский Санкт-Петербургского Отделения октябрьской железной дороги- филиала ОАО «РЖД»."
188,188,"Санкт-Петербург, ул. Красноармейская, д.2 ."
189,189,"Санкт-Петербург, участок ж.д. «Обводный канал – улица Грибакиных» участок ж.д. «улица Юннатов – дорога на Петро-Славянку», г. Санкт-Петербург, ул. Сортировочная – Московская, д.2, лит.30, часть здания дома отдыха локомотивных бригад на первом этаже в производственно-технологическом комплексе локомотивного депо Санкт-Петербург- Сортировочный-Московский на станции Санкт-Петербург Сортировочный-Московский."
190,190,"Санкт-Петербург, шоссе Пельгорское, д.20, лит.Б, часть здания  на 2 этаже,  помещения № 13,14,15,16,17."
191,191,"Санкт-Петербург, база ПМС №83, лит. А, часть здания  часть здания  административно-бытового корпуса на 2 этаже,  помещения  № 27, 28."
192,192,"Санкт-Петербург, ул. Косая, уч.17, лит. А, часть здания  гаража для ремонта машин с административным зданием на 1 этаже,  помещения  № 4,5,6,7."
193,193,"Санкт-Петербург, Невский проспект, д. 85, лит. А, часть здания Московского вокзала на 1 этаже, помещения 34-Н № 1- 17."
194,194,"Санкт-Петербург, Заневский проспект,  д. 73, лит. А, часть здания Ладожского вокзала на 2 этаже, помещения 1-Н № 4130-4132,4134-4138."
195,195,"Санкт-Петербург, Загородный проспект, д. 52, лит. А, часть здания Витебского вокзала на 2 этаже, помещения № 216-223."
196,196,"Санкт-Петербург, набережная Обводного канала, дом 120, литер Б, часть здания Балтийского вокзала на 1 этаже, помещения 15-Н № 1-7."
197,197,"Санкт-Петербург, ул. Октябрьская, д.5., часть здания вокзала Великий Новгород на 1 этаже, помещения № 12, 13."
198,198,"Санкт-Петербург, Воскресенский бульвар,  д. 5а."
199,199,"Санкт-Петербург, Пустомержская волость, ст. Веймарн, 121 км, ПК 4, направление Санкт-Петербург-Нарва,  лит. Б,  часть здания дома отдыха локомотивных бригад на 1 этаже, помещения № 7,8."
200,200,"Санкт-Петербург, ул. Театральная, д. 6/7, Лит.А, часть административного здания – контора ПЧ на 1 этаже,  помещения № 25,26,27,28."
201,201,"Санкт-Петербург, станция Луга. ул. Железнодорожная, дом № 4, лит.А, часть здания  дома отдыха локомотивных бригад на 1 этаже, помещение №3."
202,202,"Санкт-Петербург, Боровая улица, д. 116, лит.А, часть здания заводоуправления, главного материального склада, подстанции трансформаторной, проходной  на 1 этаже, помещения № 20-29."
203,203,"Санкт-Петербург, станция Гатчина-Товарная-Балтийская, лит. А, часть здания дома отдыха локомотивных бригад на 1-м этаже, помещения 13, 14."
204,204,"Санкт-Петербург, ул. Станюковича, д. 9, лит. А, пом.18 Н, в пом. 1-24 на 1 этаже."
205,205,"Санкт-Петербург, ул. Комсомола д. 2 лит. А"
206,206,"Санкт-Петербург, ул.  Зосимова д.13 лит. А"
207,207,"Санкт-Петербург, ул. Восстания, д. 24, лит. А"
208,208,"Санкт-Петербург, ул. Интернациональная д. 6, лит. А"
209,209,"Санкт-Петербург, пр. Космонавтов, д. 54, лит. А"
210,210,"Санкт-Петербург, проспект Космонавтов, д. 33-35, лит. А"
211,211,"Санкт-Петербург, ул. Орджоникидзе, д. 38, лит. А"
212,212,"Санкт-Петербург, Московское шоссе, д.10, кор.2, лит.А, ч. пом. 5-Н( пом.76,77)"
213,213,"Санкт-Петербург, улица Ленсовета, д.43, кор.2, лит.А, ч.пом.7Н(пом.10,11)"
214,214,"Санкт-Петербург, Витебский проспект, д.57, литера А, ч.пом. 5Н (пом.9,10)"
215,215,"Санкт-Петербург, улица Ленсовета, д.68, лит.А, ч.пом.4Н(пом.37,38)"
216,216,"Санкт-Петербург, Витебский проспект, д.85, лит.А, ч.пом.3-Н(пом.28,29)"
217,217,"Санкт-Петербург, улица Фрунзе, д.12, лит.А, ч.пом.1Н(пом.75,76)"
218,218,"Санкт-Петербург, проспект Юрия Гагарина, д.22, кор.3, лит.А,ч.пом.5Н (пом. 20,44)"
219,219,"Санкт-Петербург, проспект Юрия Гагарина, д.16, кор.3, лит.А ,ч.пом.4Н (пом. 20,21)"
